coachID,coach_won,coach_lost,coach_post_wins,coach_post_losses,year,tmID,stint,num_prizes
adubari99w,20,12,4,3,2,NYL,0,0.0
adubari99w,21,11,3,3,3,NYL,0,0.0
adubari99w,18,14,4,4,4,NYL,0,0.0
adubari99w,16,18,0,0,5,NYL,1,0.0
adubari99w,7,9,0,0,6,WAS,0,0.0
adubari99w,16,18,0,0,7,WAS,0,0.0
adubari99w,18,16,0,2,8,WAS,1,0.0
aglerbr99w,15,17,0,0,2,MIN,0,0.0
aglerbr99w,12,20,0,0,3,MIN,1,0.0
aglerbr99w,6,13,0,0,9,SEA,0,0.0
aglerbr99w,22,12,1,2,10,SEA,0,0.0
allenso99w,21,11,0,2,2,SAC,1,0.0
boguemu01w,3,7,0,0,7,CHA,0,0.0
bouceje01w,19,15,1,2,9,SAC,0,0.0
bouceje01w,18,16,1,2,10,SAC,1,0.0
brownde01w,16,16,0,0,5,SAS,2,0.0
bryanjo01w,4,2,0,2,7,LAS,0,0.0
chancva99w,27,5,6,0,2,HOU,0,0.0
chancva99w,19,13,0,2,3,HOU,0,0.0
chancva99w,24,8,1,2,4,HOU,0,0.0
chancva99w,20,14,1,2,5,HOU,0,0.0
chancva99w,13,21,0,0,6,HOU,0,0.0
chancva99w,19,15,2,3,7,HOU,0,0.0
coopecy01w,13,19,0,0,3,PHO,1,0.0
coopemi01w,28,4,2,2,2,LAS,0,3.0
coopemi01w,28,4,6,1,3,LAS,0,3.0
coopemi01w,25,7,6,0,4,LAS,0,3.0
coopemi01w,24,10,5,4,5,LAS,1,3.0
coopemi01w,14,6,0,0,8,LAS,0,3.0
coopemi01w,10,24,0,0,9,LAS,0,3.0
coopemi01w,20,14,3,3,10,LAS,0,3.0
coylepa99w,11,7,2,3,6,NYL,0,0.0
coylepa99w,18,16,0,2,7,NYL,0,0.0
coylepa99w,11,23,0,0,8,NYL,0,0.0
coylepa99w,16,18,1,2,9,NYL,0,0.0
coylepa99w,19,15,3,3,10,NYL,1,0.0
dailesh99w,6,6,0,0,5,SAS,1,0.0
donovan99w,9,23,0,0,2,CHA,0,0.0
donovan99w,18,14,4,4,3,CHA,0,0.0
donovan99w,18,14,0,2,4,SEA,0,0.0
donovan99w,18,16,0,0,5,SEA,0,0.0
donovan99w,20,14,6,2,6,SEA,0,0.0
donovan99w,20,14,1,2,7,SEA,0,0.0
donovan99w,18,16,1,2,8,SEA,0,0.0
donovan99w,17,17,0,2,10,NYL,2,0.0
dunnli99wc,6,26,0,0,2,SEA,0,0.0
dunnli99wc,10,22,0,0,3,SEA,0,0.0
dunnli99wc,17,15,0,2,9,IND,0,0.0
dunnli99wc,17,17,1,2,10,IND,0,0.0
fortnne99w,10,22,0,0,3,IND,0,0.0
fortnne99w,16,16,1,2,4,IND,0,0.0
gaineco01w,16,18,0,0,10,PHO,0,0.0
grafca99wc,17,17,0,0,6,PHO,0,0.0
hargrli99w,10,22,0,0,2,POR,0,0.0
hargrli99w,11,21,0,0,3,POR,0,0.0
harveca99w,14,5,0,2,3,UTA,0,0.0
harveca99w,20,12,2,3,4,SAS,1,0.0
hugheda99w,17,15,3,3,2,CLE,0,0.0
hugheda99w,22,10,1,2,3,CLE,0,3.0
hugheda99w,10,22,0,0,4,CLE,0,3.0
hugheda99w,17,17,1,2,6,SAS,0,3.0
hugheda99w,7,27,0,0,7,SAS,0,3.0
hugheda99w,13,21,0,0,8,SAS,0,3.0
hugheda99w,20,14,2,3,9,SAS,0,6.0
hugheda99w,24,10,4,5,10,SAS,0,6.0
keyst99wc,12,22,0,0,10,CHI,0,0.0
laceytr99w,18,16,0,2,5,CHA,0,0.0
laceytr99w,16,18,0,0,6,CHA,1,0.0
laimbbi01w,9,13,0,0,4,DET,0,0.0
laimbbi01w,25,9,6,2,5,DET,0,3.0
laimbbi01w,17,17,1,2,6,DET,0,3.0
laimbbi01w,16,18,0,2,7,DET,0,3.0
laimbbi01w,23,11,7,3,8,DET,0,3.0
laimbbi01w,24,10,6,5,9,DET,0,3.0
laimbbi01w,22,12,7,2,10,DET,1,3.0
mcconsu01w,18,16,1,2,5,MIN,0,0.0
mcconsu01w,18,16,0,2,6,MIN,0,4.0
mcconsu01w,14,20,0,0,7,MIN,1,4.0
mchugma99w,14,6,3,2,3,SAC,0,0.0
mchugma99w,14,18,0,0,4,SAC,1,0.0
meadoma99w,4,30,0,0,10,ATL,0,0.0
peckca99wc,16,16,1,2,2,ORL,0,0.0
rollitr01w,16,14,0,0,9,WAS,1,0.0
rothsro99w,13,19,0,0,2,MIA,0,0.0
rothsro99w,20,12,1,2,3,MIA,0,0.0
stanlma99w,17,15,3,2,4,WAS,0,3.0
thibami99w,18,16,2,2,5,CON,0,0.0
thibami99w,18,16,5,3,6,CON,0,0.0
thibami99w,26,8,5,3,7,CON,0,0.0
thibami99w,26,8,3,2,8,CON,0,3.0
thibami99w,18,16,1,2,9,CON,0,3.0
thibami99w,21,13,1,2,10,CON,0,6.0
thompka99w,11,3,1,2,8,HOU,0,0.0
thompka99w,13,21,0,0,9,HOU,0,0.0
westhpa99w,18,16,0,0,8,PHO,0,0.0
whisejo99w,12,4,3,3,5,SAC,0,0.0
