playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,height,weight,year,tmID,age,players_prizes
abrossv01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,169.0,2,MIN,22.0,0.0
abrossv01w,26,23,846,343,43,131,174,53,42,9,85,70,293,114,132,96,76,19,2,74.0,169.0,3,MIN,23.0,0.0
abrossv01w,27,27,805,314,45,101,146,60,42,10,92,73,316,119,116,56,60,20,0,74.0,169.0,4,MIN,24.0,0.0
abrossv01w,30,25,792,318,44,97,141,82,44,11,90,79,285,112,98,69,82,25,0,74.0,169.0,5,MIN,25.0,0.0
abrossv01w,22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,74.0,169.0,6,MIN,26.0,0.0
abrossv01w,31,31,777,304,29,78,107,60,48,6,80,86,276,109,73,53,82,33,0,74.0,169.0,7,MIN,27.0,0.0
abrossv01w,34,2,724,263,44,62,106,54,34,1,61,66,241,99,62,41,65,24,0,74.0,169.0,8,MIN,28.0,0.0
abrossv01w,34,29,843,345,53,97,150,85,44,4,68,86,298,132,43,36,101,45,0,74.0,169.0,9,CON,29.0,0.0
adamsjo01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,180.0,4,MIN,23.0,0.0
aguilel01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,165.0,3,UTA,27.0,0.0
ajavoma01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,160.0,9,HOU,23.0,0.0
ajavoma01w,34,2,604,273,33,27,60,59,31,6,55,85,284,94,91,72,68,13,1,68.0,160.0,10,WAS,24.0,0.0
aldrima01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,153.0,1,WAS,28.0,0.0
aldrima01w,29,0,272,63,8,16,24,28,9,4,27,30,54,25,22,7,12,6,0,71.0,153.0,2,WAS,29.0,0.0
alhalta01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,149.0,2,ORL,28.0,0.0
allench01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,135.0,9,SAC,23.0,0.0
amachma01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,175.0,2,NYL,24.0,0.0
amachma01w,2,0,3,1,1,0,1,0,0,1,1,2,0,0,2,1,0,0,0,73.0,175.0,4,SEA,26.0,0.0
amachma01w,7,0,47,8,4,10,14,0,5,2,9,3,10,3,4,2,0,0,0,73.0,175.0,6,WAS,28.0,0.0
ambermo01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,169.0,3,SAC,33.0,0.0
anderam01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,167.0,7,CON,23.0,0.0
anderam01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,167.0,7,NYL,23.0,0.0
anderch01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,190.0,4,SAC,23.0,0.0
anderch01w,26,0,171,42,7,17,24,5,5,5,17,33,44,19,12,4,0,0,1,78.0,190.0,5,SAC,24.0,0.0
anderch01w,30,0,231,77,14,20,34,5,3,6,25,46,64,25,37,27,0,0,0,78.0,190.0,6,SAS,25.0,0.0
anderch01w,34,19,669,203,28,62,90,11,8,15,55,106,178,83,46,37,0,0,5,78.0,190.0,7,SAS,26.0,0.0
anderch01w,23,20,414,153,28,57,85,15,7,10,29,73,112,59,45,35,0,0,0,78.0,190.0,8,SAS,27.0,0.0
anderjo01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,166.0,9,CON,23.0,0.0
anderke01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,125.0,1,WAS,27.0,0.0
anderke01w,30,9,434,75,12,34,46,75,25,3,47,53,68,29,18,14,8,3,0,67.0,125.0,2,CHA,28.0,0.0
anderke01w,18,0,102,12,3,12,15,14,6,0,17,8,16,2,10,8,2,0,0,67.0,125.0,3,CHA,29.0,0.0
andrame01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,165.0,1,CLE,26.0,0.0
andrame01w,32,18,797,265,32,63,95,75,41,10,65,91,195,89,80,60,75,27,1,71.0,165.0,2,CLE,27.0,0.0
andrame01w,32,32,893,152,21,66,87,100,51,10,61,77,171,58,45,30,30,6,0,71.0,165.0,3,CLE,28.0,0.0
andrame01w,32,16,665,91,17,39,56,67,29,6,41,82,111,34,23,18,26,5,2,71.0,165.0,5,CHA,30.0,0.0
anosini01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,211.0,9,MIN,23.0,0.0
anosini01w,34,34,920,314,78,153,231,45,75,43,42,125,226,99,166,116,1,0,2,75.0,211.0,10,MIN,24.0,0.0
arcaija01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,147.0,1,HOU,32.0,0.0
arcaija01w,32,32,977,268,36,83,119,60,42,3,53,66,233,109,49,41,45,9,1,71.0,147.0,2,HOU,33.0,0.0
arcaija01w,32,32,1154,591,49,87,136,94,60,3,83,82,509,217,150,135,66,22,1,71.0,147.0,3,HOU,34.0,2.0
arcaija01w,32,32,1116,364,42,84,126,86,51,6,71,49,302,128,111,98,37,10,0,71.0,147.0,4,HOU,35.0,2.0
arcaija01w,34,34,1136,390,24,112,136,67,41,1,50,64,324,151,94,79,37,9,0,71.0,147.0,6,HOU,37.0,2.0
askamma01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,198.0,1,MIA,31.0,0.0
askamma01w,32,32,869,251,96,135,231,29,17,21,49,95,209,85,117,80,2,1,0,77.0,198.0,2,MIA,32.0,0.0
askamma01w,30,11,431,74,35,52,87,15,12,11,19,62,58,28,32,18,0,0,0,77.0,198.0,3,MIA,33.0,0.0
askamma01w,30,11,431,74,35,52,87,15,12,11,19,62,58,28,32,18,0,0,0,77.0,198.0,3,LAS,33.0,0.0
atkinla01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,172.0,7,IND,23.0,0.0
atkinla01w,33,1,417,99,25,51,76,22,18,5,34,31,87,38,39,18,17,5,0,72.0,172.0,8,SAC,24.0,0.0
atkinla01w,28,0,226,58,13,31,44,15,10,5,33,15,47,22,19,14,2,0,0,72.0,172.0,9,SAC,25.0,0.0
atkinla01w,5,1,73,14,3,11,14,8,5,2,10,5,16,6,4,2,1,0,0,72.0,172.0,10,SEA,26.0,0.0
atunrmo01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,143.0,9,SAS,23.0,0.0
augusse01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,179.0,7,MIN,23.0,0.0
augusse01w,34,34,1124,744,15,113,128,50,21,18,71,58,620,283,165,148,85,30,0,72.0,179.0,8,MIN,24.0,3.0
augusse01w,34,34,1093,769,37,99,136,79,41,21,83,58,583,296,173,151,62,26,0,72.0,179.0,9,MIN,25.0,3.0
augusse01w,31,31,1042,591,28,92,120,83,32,12,52,46,496,233,118,105,63,20,0,72.0,179.0,10,MIN,26.0,3.0
aycocan01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,172.0,1,SEA,28.0,0.0
aycocan01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,172.0,1,MIN,28.0,0.0
azizle01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,177.0,4,IND,25.0,0.0
azzije01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,143.0,1,UTA,33.0,0.0
azzije01w,15,15,559,144,5,36,41,92,12,5,28,43,104,47,43,40,24,10,0,68.0,143.0,2,UTA,34.0,0.0
azzije01w,32,32,1205,276,10,88,98,171,22,10,69,89,184,75,96,88,74,38,1,68.0,143.0,3,UTA,35.0,0.0
azzije01w,32,32,1151,306,15,54,69,158,27,14,67,102,198,91,104,83,92,41,0,68.0,143.0,4,SAS,36.0,0.0
badertr01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,125.0,1,CLE,28.0,0.0
badertr01w,25,0,201,47,2,9,11,21,17,1,18,16,48,17,6,5,24,8,0,64.0,125.0,2,CLE,29.0,0.0
badertr01w,19,0,114,21,2,10,12,11,5,0,8,7,20,8,0,0,13,5,0,64.0,125.0,3,CLE,30.0,0.0
bakersh01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,125.0,7,NYL,25.0,0.0
bakersh01w,34,16,614,251,23,33,56,35,46,2,50,69,251,97,56,48,33,9,0,68.0,125.0,8,NYL,26.0,0.0
bakersh01w,34,16,614,251,23,33,56,35,46,2,50,69,251,97,56,48,33,9,0,68.0,125.0,8,LAS,26.0,0.0
bakersh01w,27,11,505,208,17,53,70,77,36,2,65,59,194,65,84,70,34,8,1,68.0,125.0,9,IND,27.0,0.0
bakersh01w,13,0,110,49,7,15,22,15,9,1,11,15,37,12,34,25,1,0,0,68.0,125.0,10,DET,28.0,0.0
balesal01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,218.0,8,IND,23.0,0.0
balesal01w,17,0,169,55,12,33,45,2,4,13,7,14,42,24,8,7,0,0,0,79.0,218.0,9,IND,24.0,0.0
balesal01w,17,0,169,55,12,33,45,2,4,13,7,14,42,24,8,7,0,0,0,79.0,218.0,9,ATL,24.0,0.0
banchrh01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,185.0,1,SAC,28.0,0.0
baranel01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,182.0,2,MIA,30.0,0.0
baranel01w,32,30,984,378,40,151,191,63,33,57,62,81,330,141,71,66,80,30,2,77.0,182.0,4,NYL,32.0,0.0
baranel01w,33,7,850,278,45,136,181,64,36,43,62,69,257,107,35,31,91,33,0,77.0,182.0,5,NYL,33.0,0.0
baranel01w,34,33,1048,394,33,213,246,67,37,58,80,88,315,146,53,49,115,53,0,77.0,182.0,6,NYL,34.0,0.0
barksla01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,156.0,2,POR,23.0,0.0
barksla01w,5,0,35,2,1,5,6,4,2,0,1,3,10,1,0,0,3,0,0,70.0,156.0,3,POR,24.0,0.0
barksla01w,17,3,285,100,18,22,40,12,8,7,23,31,101,36,26,23,22,5,0,70.0,156.0,4,SAS,25.0,0.0
barnead01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,165.0,1,CLE,24.0,0.0
barnead01w,5,0,18,8,2,0,2,4,0,0,2,2,5,3,4,2,1,0,0,71.0,165.0,2,CLE,25.0,0.0
barnead01w,3,0,3,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,71.0,165.0,3,SEA,26.0,0.0
barnead01w,26,17,493,90,45,57,102,28,32,9,25,64,111,37,29,15,4,1,1,71.0,165.0,4,SEA,27.0,0.0
barnead01w,16,16,396,88,26,39,65,23,11,7,18,36,84,32,21,12,31,12,1,71.0,165.0,5,SEA,28.0,0.0
barnequ01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,185.0,1,SEA,25.0,0.0
barnequ01w,31,23,705,209,27,57,84,33,19,33,62,103,213,89,56,30,9,1,2,77.0,185.0,2,SEA,26.0,0.0
barnequ01w,20,3,229,68,14,20,34,11,9,6,16,29,59,23,27,21,1,1,0,77.0,185.0,3,PHO,27.0,0.0
batkosu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,203.0,6,SEA,26.0,0.0
batkosu01w,29,0,461,199,26,68,94,26,17,24,32,85,174,76,58,45,7,2,1,76.0,203.0,10,SEA,30.0,0.0
batteja01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,163.0,6,MIN,23.0,0.0
batteja01w,8,0,46,0,0,5,5,3,0,1,3,4,6,0,0,0,0,0,0,73.0,163.0,7,DET,24.0,0.0
battlas01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,170.0,6,SEA,24.0,0.0
battlas01w,2,0,8,2,0,2,2,0,0,0,1,1,2,1,0,0,0,0,0,72.0,170.0,7,NYL,25.0,0.0
battlas01w,33,2,455,143,13,49,62,29,31,3,38,32,141,54,25,20,46,15,0,72.0,170.0,8,NYL,26.0,0.0
battlas01w,34,5,757,252,32,94,126,56,35,2,48,50,244,89,58,45,93,29,0,72.0,170.0,9,NYL,27.0,0.0
battlas01w,34,0,336,121,18,35,53,24,15,1,28,26,98,37,50,36,30,11,0,72.0,170.0,10,NYL,28.0,0.0
bauerca01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,180.0,1,CHA,29.0,0.0
bauerca01w,29,18,398,76,20,36,56,14,8,3,28,72,72,29,21,18,1,0,1,76.0,180.0,2,WAS,30.0,0.0
bauerca01w,15,0,102,15,8,10,18,3,2,1,6,12,17,5,10,5,1,0,0,76.0,180.0,3,SAC,31.0,0.0
beardal01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,160.0,5,WAS,23.0,0.0
beardal01w,34,34,1025,446,28,115,143,91,69,34,80,98,380,159,149,107,56,21,0,71.0,160.0,6,WAS,24.0,0.0
beardal01w,30,30,1015,422,25,105,130,90,45,9,63,87,408,155,105,80,101,32,0,71.0,160.0,7,WAS,25.0,0.0
beardal01w,32,32,994,614,23,126,149,98,59,25,90,92,469,232,149,113,102,37,4,71.0,160.0,8,WAS,26.0,0.0
beardal01w,33,33,1169,622,25,114,139,99,64,24,94,105,539,224,150,127,146,47,2,71.0,160.0,9,WAS,27.0,0.0
beardal01w,33,33,1092,532,4,114,118,117,55,19,106,111,474,187,146,107,144,51,2,71.0,160.0,10,WAS,28.0,0.0
beckki01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,125.0,9,SEA,24.0,0.0
bennije01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,185.0,6,IND,25.0,0.0
berezva01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,167.77260981912144,9,SAS,23.0,0.0
berthlu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,188.0,3,CLE,25.0,0.0
berthlu01w,5,0,16,8,3,1,4,0,0,0,0,5,7,3,4,2,1,0,0,74.0,188.0,4,CLE,26.0,0.0
berthlu01w,22,4,201,84,20,22,42,6,10,4,22,38,52,27,46,30,1,0,0,74.0,188.0,5,HOU,27.0,0.0
beviltu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,145.0,1,POR,29.0,0.0
beviltu01w,32,32,796,153,19,76,95,89,41,6,66,93,112,40,72,56,60,17,1,67.0,145.0,2,POR,30.0,0.0
beviltu01w,31,31,788,153,27,61,88,103,59,6,52,102,119,39,71,52,73,23,0,67.0,145.0,3,POR,31.0,0.0
beviltu01w,27,19,421,84,7,26,33,44,22,3,27,49,61,25,29,19,36,15,0,67.0,145.0,4,SEA,32.0,0.0
beviltu01w,31,0,252,58,9,17,26,32,14,1,20,30,51,17,21,16,21,8,0,67.0,145.0,5,SEA,33.0,0.0
beviltu01w,34,0,358,79,6,20,26,29,38,2,26,48,60,24,29,20,26,11,0,67.0,145.0,6,IND,34.0,0.0
beviltu01w,31,31,873,194,12,51,63,80,60,0,51,69,162,63,44,24,116,44,0,67.0,145.0,7,IND,35.0,0.0
beviltu01w,34,34,999,223,10,67,77,79,71,1,54,72,185,76,53,38,106,33,0,67.0,145.0,8,IND,36.0,0.0
beviltu01w,34,34,901,180,15,60,75,92,56,2,53,88,150,66,22,15,89,33,0,67.0,145.0,9,IND,37.0,1.0
beviltu01w,30,30,876,175,12,56,68,65,59,4,35,73,158,64,28,17,89,30,0,67.0,145.0,10,IND,38.0,1.0
