year,tmID,playoff,GP,GS,minutes,points,oRebounds,dRebounds,assists,round,tmIDWinner,tmIDLoser,W,L,post_W,post_L,award,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP,GS,minutes,points,oRebounds,dRebounds,assists
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,8,0,65,19,3,2,1
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,8,0,135,58,4,17,8
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,15,0,88,26,0,7,7
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,18,0,84,29,6,7,2
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,28,0,141,43,0,11,16
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,28,1,269,75,8,11,10
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,28,3,269,68,15,42,4
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,30,2,198,57,29,32,5
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,30,27,876,394,52,210,71
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,31,31,1008,351,105,150,38
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,32,32,1065,489,19,88,91
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,32,32,1101,503,91,90,67
3,UTA,Y,28,0,141,43,0,11,16,FR,UTA,HOU,2,1,2,3,,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,32,32,1151,306,15,54,158
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,1,0,3,2,0,1,0
2,NYL,Y,2,0,3,1,1,0,0,FR,NYL,MIA,2,1,3,3,,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,2,0,3,1,1,0,0
