bioID,firstseason,height,weight,playerID_x,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,playerID_y,num_prizes,age
arcaija01w,0,71.0,147.0,arcaija01w,2,0,HOU,WNBA,32,32,1154,591,49,87,136,94,60,3,83,82,509,217,150,135,66,22,1,2,2,71,29,2,9,11,5,2,0,5,5,34,13,2,2,8,1,0,arcaija01w,1,33
augusse01w,0,72.0,179.0,augusse01w,7,0,MIN,WNBA,34,34,1124,744,15,113,128,50,21,18,71,58,620,283,165,148,85,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,augusse01w,1,23
beviltu01w,0,67.0,145.0,beviltu01w,8,0,IND,WNBA,34,34,901,180,15,60,75,92,56,2,53,88,150,66,22,15,89,33,0,6,6,215,44,5,11,16,19,11,0,8,17,44,13,12,10,28,8,1,beviltu01w,1,36
birdsu01w,0,69.0,150.0,birdsu01w,7,0,SEA,WNBA,34,34,1065,389,24,78,102,162,61,5,88,60,333,137,68,59,153,56,1,3,3,106,38,3,5,8,10,1,2,7,3,36,13,8,5,21,7,0,birdsu01w,1,27
blackde01w,0,63.0,124.0,blackde01w,2,0,MIA,WNBA,32,32,946,180,43,83,126,123,82,2,51,69,187,70,48,37,20,3,0,3,3,95,14,7,9,16,11,5,1,4,7,18,7,0,0,3,0,0,blackde01w,1,36
bonnede01w,0,76.0,136.0,bonnede01w,10,0,PHO,WNBA,34,0,724,381,70,126,196,13,23,25,34,70,278,127,154,125,13,2,0,11,0,186,97,17,30,47,3,5,6,7,13,69,34,35,29,1,0,0,bonnede01w,1,23
campbed01w,0,68.0,152.0,campbed01w,4,0,SAC,WNBA,34,34,724,267,17,53,70,43,21,5,43,42,244,98,33,25,111,46,0,6,6,148,40,1,3,4,11,1,0,8,11,36,17,2,2,16,4,0,campbed01w,1,36
cashsw01w,0,73.0,162.0,cashsw01w,10,0,SEA,WNBA,32,29,1094,390,62,152,214,82,28,16,91,98,355,139,128,102,31,10,1,3,3,116,63,6,10,16,5,7,3,6,10,39,19,25,21,10,4,0,cashsw01w,1,31
catchta01w,0,73.0,167.0,catchta01w,3,0,IND,WNBA,32,32,1167,594,92,184,276,118,94,43,82,105,439,184,184,150,193,76,2,3,3,103,61,12,20,32,7,4,1,11,7,45,22,11,9,21,8,0,catchta01w,1,24
catchta01w,0,73.0,167.0,catchta01w,6,0,IND,WNBA,34,34,1174,501,69,195,264,143,90,16,91,96,410,157,193,152,123,35,1,4,4,146,69,13,24,37,9,8,1,11,13,59,21,28,22,12,5,1,catchta01w,2,27
