bioID,firstseason,height,weight,birthDate,deathDate
abrahta01w,0,74.0,190.0,1975-09-27,0000-00-00
abrossv01w,1,74.0,169.0,1980-07-09,0000-00-00
adairje01w,0,76.0,197.0,1986-12-19,0000-00-00
adamsda01w,0,73.0,239.0,1989-02-19,0000-00-00
adamsjo01w,0,75.0,180.0,1981-05-24,0000-00-00
aguilel01w,0,67.0,165.0,1976-10-15,0000-00-00
ajavoma01w,0,68.0,160.0,1986-05-07,0000-00-00
alberma01w,0,64.0,167.77260981912144,1975-04-12,0000-00-00
aldrima01w,0,71.0,153.0,1973-09-15,0000-00-00
alexaer01w,0,67.0,140.0,1975-04-25,0000-00-00
alhalta01w,0,72.0,149.0,1974-10-17,0000-00-00
allench01w,0,71.0,135.0,1986-07-23,0000-00-00
amachma01w,0,73.0,175.0,1978-01-30,0000-00-00
ambermo01w,0,76.0,169.0,1970-12-21,0000-00-00
anderam01w,0,72.0,167.0,1984-03-14,0000-00-00
anderch01w,0,78.0,190.0,1981-01-22,0000-00-00
anderjo01w,0,68.0,166.0,1986-07-22,0000-00-00
anderke01w,0,67.0,125.0,1974-05-17,0000-00-00
andrame01w,0,71.0,165.0,1975-12-31,0000-00-00
angelyv01w,0,68.0,160.0,1963-10-14,0000-00-00
anosini01w,0,75.0,211.0,1986-02-27,0000-00-00
appelja01w,0,76.0,210.0,1988-05-14,0000-00-00
arcaija01w,0,71.0,147.0,1969-04-11,0000-00-00
artiska01w,0,73.0,155.0,1973-07-09,0000-00-00
askamma01w,0,77.0,198.0,1970-08-07,0000-00-00
atkinla01w,0,72.0,172.0,1984-03-22,0000-00-00
atunrmo01w,0,70.0,143.0,1986-04-14,0000-00-00
augusse01w,0,72.0,179.0,1984-04-30,0000-00-00
aycocan01w,0,74.0,172.0,1973-02-28,0000-00-00
ayimmi01w,0,75.0,167.77260981912144,1988-05-06,0000-00-00
azizle01w,0,75.0,177.0,1979-02-28,0000-00-00
azzije01w,0,68.0,143.0,1968-08-31,0000-00-00
badertr01w,0,64.0,125.0,1973-02-26,0000-00-00
